รหัสสัตว์น้ำ,ชนิดสัตว์น้ำ,ชื่อไทย,ชื่อท้องถิ่น,ชื่อสามัญ,ชื่อวิทยาศาสตร์,ชื่อวงศ์สัตว์น้ำ,ชื่อ/ปีที่เผยแพร่,ลักษณะชีววิทยาทั่วไป,ถิ่นที่อาศัย,สถานะภาพ,ที่มาของภาพ,ที่มาของข้อมูล,ชื่อภาพ,Path เก็บภาพ (เล็ก),Path เก็บภาพ (ใหญ่)
162, ปลา, ปลาหมอ, สะเด็ด เข็ง, climbing perch, Anabas   testudineus, Family Anabantidae,"(Bloch, 1792)"," ลักษณะภายนอก ลำตัวค่อนข้างแบน บริเวณหน้าค่อนข้างกลม ส่วนหางแบนข้าง มีความยาวประมาณ 2.5 – 3.0เท่า ของความลึกลำตัว ปากสั้นกลมมน ปากอยู่ปลายสุด(terminal) และเฉียงขึ้นบนเล็กน้อย ตาโตลำตัวมีสีน้ำตาลปนดำ ลักษณะสีเข้ม ส่วนท้องลักษณะสีจางกว่าส่วนหลัง ตามลำตัวมีเกล็ดเป็นชนิดขอบมีหนาม (ctenoid) ที่กระดูกกระพุ้งแก้มตอนปลายมีลักษณะเป็นหนามหยักแหลมคมมาก ลักษณะหางเป็นแบบมนกลมเล็กน้อย ที่โคนหางมีจุดสีดำกลม 1 จุดตามลำตัวมีแถบสีดำ 7 - 8 แถบ ลักษณะความแตกต่างระหว่างเพศปลาหมอเพศเมียจะมีขนาดโตและน้ำหนักมากกว่าเพศผู้ ตัวผู้จะมีลักษณะลำตัวยาวเรียวกว่า ตัวเมียมีความลึกของลำตัวมากกว่าตัวผู้เมื่อมีขนาดความยาวเท่ากัน ฤดูปลามีไข่ปลาหมอเพศเมียจะมีส่วนท้องอูมเป่งซึ่งเพศผู้ส่วนท้องจะเป็นปกติ อัตราส่วนเพศของปลาหมอ คิดเป็นอัตราส่วน เพศผู้ : เพศเมีย = 1 : 1.86 ความดกของไข่มีตั้งแต่ 2,200 -28,000 ฟอง ปลาหมอจะวางไข่ในฤดูฝน ตั้งแต่เดือนพฤษภาคมถึงตุลาคม โดยไข่จะแก่จัดในช่วงเดือนเมษายน -พฤษภาคม อายุประมาณ 5 เดือน ก็สามารถผสมพันธุ์วางไข่ได้ การเพาะพันธุ์ปลาหมอ ฉีดกระตุ้นด้วยฮอร์โมนสังเคราะห์ (buserelin acetate) ในอัตราความเข้มข้น 10-15 ไมโครกรัม/กิโลกรัม ร่วมกับยาเสริมฤทธิ์ (domperidone) 5 มิลลิกรัม/กิโลกรัม แม่ปลาจะวางไข่ในเวลา 6 – 8 ชั่วโมง ไข่ปลาหมอเป็นไข่ลอย พัฒนาการของไข่เริ่มจากการปฏิสนธิจนกระทั่งฟักออกเป็นตัวใช้เวลาประมาณ17 ชั่วโมง 30 นาที ที่อุณหภูมิน้ำ 26 – 28 องศาเซลเซียสพัฒนาการของตัวอ่อนจากฟักเป็นตัวจนมีลักษณะคล้ายตัวเต็มวัย ใช้เวลา 10 วัน", ปลาหมออาศัยอยู่ในแหล่งน้ำจืดทั่วๆ ไป ทั้งแห่ลงน้ำนิ่งและน้ำไหล ปลาหมอสามารถปรับตัวเจริญเติบโตเข้ากับสภาพแวดล้อมที่เป็นน้ำกร่อย ป่าจากที่ลุ่มดินเค็มชายฝั่งทะเลที่มีความเค็มไม่เกิน 10 ส่วนในพัน และน้ำที่ค่อนข้างเป็นกรดจัด เช่น ป่าพรุ ตลอดจนมักฝังหรือหมกตัวในโคลนตมได้เป็นระยะเวลานานๆ จึงเป็นปลาที่มีความทนทานต่อสภาพแวดล้อม เนื่องจากมีอวัยวะพิเศษช่วยหายใจ (labyrinth organ) ปลาหมอเป็นปลากินเนื้อ (carnivorous fish) จึงเป็นปลาผู้ล่า(predator) กินสัตว์น้ำที่มีขนาดเล็กกว่าและชอบกินอาหารที่ผิวน้ำและกลางน้ำ, สัตว์น้ำทั่วไป, -, ศูนย์วิจัยและพัฒนาประมงน้ำจืดเพชรบูรณ์, 162.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/162.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=162
163, ปลา, ปลาพลวงทอง, ปลาพลวง, Gold Soro Brook Carp, Neolissochilus   soroides, Family Cyprinidae,"Duncker, 1904", เป็นปลาขนาดกลาง เมื่อโตเต็มที่มีความยาวประมาณ 50 เซนติเมตร ลำตัว ยาวเรียว แบนข้างเล็กน้อย สีลำตัวเป็นสีเหลืองทองครีบเป็นสีเหลืองปลาครีบมีสีอ่อน ยกเว้นครีบหลังที่มีสีเทาขอบบนและขอบล่างของครีบหางสีเข้มสีเกล็ดบริเวณส่วนหลังของลำตัวเป็นสีน้ำตาลอมเทาและสีเหลือง บริเวณด้านท้องเป็นสีขาว ทำให้สีของลำตัว แบ่งออกเป็นสองส่วนชัดเจน ไม่มีแถบสีดำบริเวณเส้นข้างตัว ซึ่งทำให้สามารถเป็นข้อระบุที่แตกต่างจากพลวงหิน, รวมตัวเป็นฝูง ชอบอยู่บริเวณที่มีน้ำไหลบริเวณน้ำตก และแอ่งน้ำที่มีน้ำตกและลำธารบนภูเขา บริเวณโดยรอบเป็นโขดหินขนาดใหญ่ล้อมรอบ พื้นท้องน้ำมีลักษณะเป็นก้อนหินขนาดกลาง และหินกรวด ซึ่งอาจพบในเขต ที่มีต้นพืชตระกูลกระวาน, สัตว์น้ำเฉพาะถิ่น, นางสาวมัลลิกา วรรณประภา, http://th.wikipedia.org/wiki/, 163.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/163.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=163
164, กุ้ง, กุ้งก้ามกราม, กุ้งหลวง กุ้งนาง กุ้งแม่น้ำ กุ้งน้ำจืด, Giant freshwater prawn, Macrobrachium   rosenbergii,,"Deman, 1975"," ลักษณะภายนอกโดยทั่วไปของกุ้งก้ามกราม จะมีลำตัวเป็นปล้อง ส่วนหัวและอกคลุมด้วยเปลือกชิ้นเดียวกัน ส่วนของลำตัวมีลักษณะเป็นปล้องๆ มี 6 ปล้อง กรีมีลักษณะโค้งขึ้นมีลักษณะหยักเป็นฟันเลื่อยโดยด้านบนมีจำนวนระหว่าง 13-16 ชี่ ด้านล่างมีจำนวนระหว่าง 10-14 ชี่ โคนกรีกว้างและหนากว่า ปลายกรียาวถึงแผ่นฐานหนวดคู่ที่ 2 กุ้งก้ามกรามมีหนวด 2 คู่ หนวดคู่แรกส่วนของโคนหนาแบ่งเป็น 3 ข้อปล้อง ปล้องที่ 3 แยกเป็นเส้นหนวด 2 เส้น หนวดคู่ที่สองยาวกว่าหนวดคู่ที่หนึ่งแบ่งเป็น 5 ข้อปล้อง ความยาวของแผ่นฐานหนวดคู่ที่สองยาวเป็น 3 เท่าของความกว้างแผ่นฐานหนวดคู่ที่สองขาเดินของกุ้งก้ามกรามมี 5 คู่ โดยขาคู่หนึ่งและที่สอง ตรงปลายมีลักษณะเป็นก้าม ส่วนคู่ที่สาม สี่ ห้า ตรงปลายมีลักษณะเป็นปลายแหลมธรรมดา ขาเดินคู่ที่สองที่มีลักษณะเป็นก้าม นั้น ถ้าเป็นกุ้งตัวผู้จะมีลักษณะใหญ่มาก โดยทั่วๆ ไปส่วนของก้ามทำทน้าที่ในการจับอาหาร ป้อนเข้าปากและป้องกันศัตรู ขาว่ายของกุ้งก้ามกรามมี 5 คู่ส่วนแพนหางมีลักษณะแหลมตรงปลายด้านข้างเป็นแพนออกไป 2 ข้าง ลักษณะของสี สีของกุ้งก้ามกรามโดยทั่วไปมีสีน้ำเงินอมเหลืองโดยเฉพาะขาเดินคู่ที่เป็น ก้ามและส่วนของลำตัวมีสีน้ำเงินเข้ม ปลายขามักเป็นชมพูอมแดง แพนหางตอนปลายมีสีชมพูอมแดงทั่วๆ ไป ระบบสืบพันธุ์กุ้งก้ามกรามตัวผู้มีต่อมผลิตน้ำเชื้อลักษณะเป็นพูแบน 2 พู ขนาดกว้างประมาณ 3 มิลลิเมตร ยาวประมาณ 5 มิลลิเมตร ที่ปลายเชื่อมติดกัน ตำแหน่งที่ตั้งอยู่บนส่วนที่เป็นตับและตับอ่อนและอยู่ด้านล่างของหัวใจ ส่วนท้ายของต่อมผลิตน้ำเชื้อแต่ละพูมีท่อนำน้ำเชื้อมาบริเวณโคนขาเดินคู่ที่ห้า และส่งต่อมายังถุงเก็บน้ำเชื้อซึ่งมีช่องเปิดออกภายนอกที่โคนขาเดินคู่ที่ห้าทั้ง 2 ข้าง น้ำเชื้อของกุ้งก้ามกรามเพศผู้ไม่เคลื่อนไหว มีลักษณะคล้ายดอกเห็ดขนาดกว้างประมาณ 7.5 ไมครอน และมีหางเล็กๆ ยาวประมาณ 12.5 ไมครอน น้ำเชื้อตัวผู้จะถูกผลิตที่ด่อมผลิตน้ำเชื้อและนำมาเก็บที่โคนขาเดินคู่ที่ห้า โดยมีผนังบางๆ หุ้มอยู่ในถุงเก็บน้ำเชื้อหนึ่งๆ จะพบถุงน้ำเชื้อประมาณ 2 ถุง กุ้งก้ามกรามเพศเมียรังไข่อยู่ตำแหน่งเดียวกับต่อมผลิตน้ำเชื้อของตัวผู้ ลักษณะเป็นพูแบนๆ 2 พูเชื่อมติดกันทางด้านท้ายมีขนาดใหญ่จนบังส่วนของตับและตับอ่อนได้ทั้งหมดใน ช่วงมีไข่รังไข่จะขยายใหญ่คลุมส่วนหัว อก และหัวใจ ท่อนำไข่ทั้งสองข้างเป็นท่อโค้งมีช่องเปิดออกภายนอกที่โคนขาเดินคู่ที่สาม ความแตกต่างระหว่างกุ้งเพศผู้และเพศเมีย กุ้งก้ามกรามที่ยังมีขนาดเล็กสามารถแยกเพศโดยดูลักษณะของขาว่ายน้ำคู่ที่สอง ถ้าเป็นกุ้งเพศเมีย ตรงปลายขาว่ายน้ำคู่ที่สอง ตรงปล้องสุดท้ายแยกออกเป็นแขนง 3 อัน โดยอันเล็กสุดอยู่ด้านใน ถ้าเป็นกุ้งเพศผู้ปลายขาว่ายคู่ที่สองแยกเป็นแขนง 4 อัน กุ้งที่มีขนาดโตสามารถแยกเพศผู้ เพศเมีย โดยกุ้งที่ขนาดโตเต็มวัยตัวผู้จะมีขนาดใหญ่กว่าตัวเมีย นอกจากนี้ก้ามของตัวผู้มีขนาดใหญ่กว่าของตัวเมียอย่างเห็นได้ชัดเจน แต่เปลือกหุ้มตัวส่วนท้องของตัวผู้จะแคบกว่าของตัวเมีย ลักษณะอื่นๆ ที่ใช้แยกเพศกุ้งขนาดปานกลางหรือขนาดใหญ่ ได้แก่ ช่องเปิดสำหรับน้ำเชื้อของตัวผู้และช่องเปิดสำหรับไข่ของตัวเมียโดยตัวผู้ ช่องเปิดอยู่บริเวณโคนขาเดินคู่ที่ห้าส่วนตัวเมียช่องเปิดอยู่โคนขาคู่ที่สาม การผสมพันธุ์วางไข่ กุ้งก้ามกรามสามารถผสมพันธุ์และวางไข่ได้ตลอดปี การผสมพันธุ์จะเกิดเมื่อตัวเมียลอกคราบและจะปล่อย ฟีโรโมน ดึงดูดตัวผู้ให้เข้าหาและผสมพันธุ์ และเปลือกยังอ่อนอยู่ ตัวผู้จะเข้าผสมโดยให้น้ำเชื้อตัวผู้ชึ่งมีลักษณะคล้ายสารเหนียวไปติดอยู่ กับส่วนหน้าอกระหว่างขาเดินของตัวเมีย หลังจากผสมพันธุ์แล้ว 6-10 ชั่วโมง กุ้งก้ามกรามตัวเมียจะเริ่มวางไข่ ตัวเมียจะวางไข่บริเวณหน้าท้องท้องระหว่างขาว่ายน้ำ โดยขาว่ายน้ำจะทำหน้าที่โบก พัดน้ำให้ไหลผ่านเพื่อเพิ่มออกซิเจนให้แก่ไข่ ปกติแล้วกุ้งตัวเมียน้ำหนัก 80 กรัม และยาว 18 เซนติเมตร สามารถผลิตไข่ได้ประมาณ 60,000 ฟอง และถ้ามีขนาดใหญ่กว่านี้อาจมีไข่ได้ถึง100,000 ฟอง/ตัว ไข่ที่ติดขาว่ายน้ำในระยะแรกๆ มีสีเหลืองอมส้มมีขนาดเส้นผ่าศูนย์กลาง 0.6-0.8 มิลลิเมตร มีรายงานว่าไข่มีการพัฒนาไปจนมีอวัยวะครบทุกส่วนภายในเปลือกไข่ ขณะเดียวกันถ้าสังเกตจากภายนอกจะเห็นสีของไข่เปลี่ยนแปลงไปจนกระทั่งระยะสุด ท้ายเปลี่ยนเป็นสีเทาดำ และรูปร่างของกุ้งพับงอภายในเปลือกไข่สามารถมองเห็นด้วยตาได้ชัดเจน ตัวเมียที่อยู่ในวัยเจริญพันธุ์สามารถที่จะวางไข่ได้ 2 ครั้ง ในระยะ 5 เดือน ดังนั้น 1 ปี กุ้งก้ามกรามอาจวางไข่ได้ถึง 3-4 ครั้ง ไข่ที่ผสมแล้วจะฟักภายใน 19-20 วัน ที่อุณหภูมิ 26-28 องศาเซลเซียส ลูกกุ้งที่ฟักใหม่ๆ ในระยะกุ้งวัยอ่อน เป็นพวกที่ชอบแสงมากว่ายไปข้างหลังในท่าตีลังกาเฉียงคล้ายลูกยุง การพัฒนาและการเจริญเติบโตของตัวอ่อน หลังจากไข่ได้รับการผสมจากเชื้อตัวผู้แล้วจะมีการแบ่งตัวของเซลล์เพิ่มขึ้น เรื่อยๆ จนเป็นอวัยวะต่างๆ เกือบสมบูรณ์ แล้วจึงฟักออกจากไข่ ใช้ระยะเวลาประมาณ 19 วัน ยังมีลักษณะไม่เหมือนพ่อแม่ ล่องลอยไปตามกระแสน้ำ จากนั้นจะเจริญเติบโตด้วยการลอกคราบอีก 12 ครั้ง จึงจะมีลักษณะเหมือนพ่อแม่ การลอกคราบแต่ละครั้งจะใช้เวลา 1-5 วัน ซึ่งจะมีรูปร่างเปลี่ยนไปทุกครั้งจนถึงระยะสุดท้ายที่เรียกว่า ตัวอ่อนวัย สุดท้าย (post larva) หรือที่ชาวบ้านเรียกว่า กุ้งคว่ำ ลูกกุ้งจะมีลักษณะเหมือนพ่อแม่ทุกประการ ลำตัวใส สามารถควบคุมการทรงตัวในการว่ายน้ำได้ และจะเกาะอยู่พื้นหรือขอบบ่อ"," โดยธรรมชาติจะอยู่ในแม่น้ำ ลำคลอง แทบทุกจังหวัดในภาคกลางและภาคใต้ ทั้งในน้ำจืดและน้ำกร่อย วางไข่ในน้ำกร่อยที่เค็มจัด อาหารได้แก่ ไส้เดือน ตัวอ่อนของลูกน้ำ ลูกไร ลูกปลาขนาดเล็ก ซากของสัตว์ต่างๆ และในบางโอกาสก็กินพวกเดียวกันเอง พบชุกชุมทำให้จับง่าย โดยเฉพาะในฤดูหนาว ด้วยสภาพแวดล้อมที่เปลี่ยนไปในปัจจุบัน ทำให้ปริมาณในธรรมชาติลดน้อยลง ปัจจุบันมีการเพาะเลี้ยงกันอย่างแพร่หลายในจังหวัดต่าง ๆ แถบภาคกลางของประเทศไทย เช่น สุพรรณบุรี, นครปฐม, ฉะเชิงเทรา และต่างประเทศด้วย เช่น ที่ สหรัฐอเมริกา", สัตว์น้ำทั่วไป, วิกิพีเดีย, กรมประมง, 164.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/164.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=164
165, ปลา," สร้อยน้ำผึ้ง, ลูกผึ้ง, ผึ้ง, อีดูด", ไส้ตัน, Siamese Gyrinochellid, Gyrinocheilus    aymonieri, Family Cobitidae,"(Tirant, 1883)", ปลาน้ำผึ้งมีลักษณะลำตัวเรียวคล้ายทรงกระบอก (fusiform) มีปากที่เปลี่ยนแปลงเป็นอวัยวะสำหรับดูดเกาะ (oral sucker) มีช่องเปิดให้น้ำผ่านเพื่อการหายใจแลกเปลี่ยนออกซิเจน เรียกว่า spiracles อยู่บริเวณหลังตาตอนบนของแผ่นปิดเหงือก (operculum) มีตุ่ม (tubercles) รวมกันเป็นกลุ่มอยู่บริเวณจะงอยปากปลาน้ำผึ้งเป็นปลามีเกล็ดที่มีขนาดเล็ก จะงอยปากลาดต่ำสีน้ำตาลเข้ม มีตุ่ม (tubercles) รวมกันเป็นกลุ่มบนจะงอยปาก ส่วนหัวบริเวณกะโหลกเหนือตามีสีเหลืองอ่อน ส่วนที่อยู่ใต้ตาตั้งแต่แก้มถึงปลายสุดของริมฝีปากบนและใต้คางสีเหลืองอ่อน มีจุดดำขนาดใหญ่ต่อเนื่องกัน จำนวน 2 แถว ตามแนวยาวของลำตัวคล้ายกับที่ปรากฏบนส่วนหลัง ลักษณะของครีบแผ่กว้างแข็งแรง มีรอยเว้าเล็กน้อย ปากเปลี่ยนแปลงไปเป็นอวัยวะสำหรับดูดเกาะ ช่องเปิดเหงือกมี 2 ช่อง ช่องบนอยู่ในแนวหลังตาเรียกว่า spiracles สำหรับให้น้ำเข้าแทนปากขณะที่ใช้ปากดูดเกาะติดกับหินหรือวัตถุใต้น้ำ ปลาน้ำผึ้งเป็นปลากินพืช (herbivorous fish) โดยกินอาหารประเภทสาหร่าย แพลงก์ตอนพืช และแพลงก์ตอนสัตว์, แพร่กระจายอยู่ในประเทศไทย ตั้งแต่แม่น้ำโขง แม่น้ำเจ้าพระยา แม่น้ำแม่กลอง แม่น้ำเพชรบุรี และแม่น้ำทุกสายในภาคใต้และภาคตะวันออก อาศัยอยู่ทั้งแหล่งน้ำนิ่งและน้ำไหล อยู่รวมกันเป็นฝูง พบมากที่สุโขทัย, สัตว์น้ำทั่วไป,,, 165.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/165.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=165
166, ปลา," ก้างพระร่วงสุโขทัย, เพียว, ผี", เพียว, Ghost Catfish, Kryptopterus    palembangensis, Family Family SILURIDAE,"(Bleeker, 1852)", ปลาก้างพระร่วงเป็นปลาน้ำจืดขนาดเล็กไม่มีเกล็ด จัดอยู่ในวงศ์ปลาเนื้ออ่อน ไม่มีเกล็ด รูปร่างด้านข้างแบนมาก ลำตัวยาวเรียว ท่อนหางโค้งงอเล็กน้อย มีชื่อเรียกหลายชื่อตามท้องถิ่น อาทิ ภาคกลางเรียก ปลาก้างพระร่วง ปลากระจก ภาคใต้เรียก ปลาบาง ปลาผี ลักษณะเด่นของปลาชนิดนี้ คือ เนื้อปลามีลักษณะโปร่งแสง ทำให้มองเห็นก้างภายในตัวได้อย่างชัดเจน ลำตัวยาวแบนข้าง ปลาก้างพระร่วงขนาดโตเต็มที่ประมาณ 10 – 15 ซม. ขนาดเฉลี่ยทั่วไปประมาณ 8 – 10 ซม. สูงสุดไม่เกิน 15 ซม. อุปนิสัย เป็นปลาที่ชอบอยู่ร่วมกันเป็นฝูง ชอบน้ำค่อนข้างใส และไหลรินอยู่ตลอดเวลา เป็นปลาชอบความสงบเงียบ ตื่นตกใจง่าย กินอาหารค่อนข้างช้า เวลากลางคืนจึงออกมาหาเหยื่อ เป็นปลาที่ชอบลอยตัวรวมฝูงตั้งแต่ 10-20 ตัว กินอาหารประเภทแพลงก์ตอนสัตว์ ตัวอ่อนแมลงน้ำที่มีชีวิต ลูกน้ำและสัตว์น้ำขนาดเล็กในธรรมชาติ, ในประเทศไทยพบในลำห้วย ลำธาร อ่างน้ำตกแถวภาคใต้ ภาคตะวันออก และในแม่น้ำบางแห่งบริเวณภาคกลางของประเทศเป็นปลาในเขตร้อน ภาคพื้นเอเชียแปซิคฟิก พบที่เกาะบอร์เนียว เกาะสุมาตรา ประเทศอินโดนีเซีย ในประเทศไทยมีรายงานว่าเคยพบที่จังหวัดนครนายก จังหวัดจันทบุรี จังหวัดตราดและทางภาคใต้ปัจจุบันทางภาคกลางนั้นพบได้น้อยมาก แทบหาไม่พบในธรรมชาติ แต่ยังคงพบปลาก้างพระร่วงนี้ในแหล่งน้ำไหล และเย็น มีร่มไม้รกครึ้ม เวลากลางวัน มักหลบอยู่ตามรากไม้ และแนวร่มไม้ที่ขึ้นตามชายน้ำเวลากลางคืนจึงออกมาหาเหยื่อ เป็นปลาที่ชอบลอยตัวรวมฝูงตั้งแต่ 10-20 ตัว มักอยู่เป็นที่, มีแนวโน้มใกล้สูญพันธุ์ รวมถึงรายละเอียดสถานภาพเฉพาะ,,, 166.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/166.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=166
168, ปลา, ปลาพลวงหิน, ปลามุง, Soro brook carp, Neolissochilus   stracheyi, Family Cyprinidae,", 0", เป็นปลาน้ำจืดขนาดกลาง มีความยาวลำตัว 50-80 เซนติเมตร ลำตัวทรงกระบอกแบนข้างเล็กน้อย หัวมน ปากเล็ก เกล็ดใหญ๋ ลำตัวมีสีน้ำตาลอมเขียวหรือเหลือบสีทอง ด้านข้างมีสีเหลือบเงิน มีแถบสีคล้ำพาดยาวไปถึงโคนหาง กินตัวอ่อนแมลง พันธ์ไม้น้ำ และผลไม้เป็นอาหาร, อยู่รวมกันเป็นฝูงบริเวณน้ำตกและลำธารบนภูเขาที่มีน้ำไหลแรงในเขตภาคเหนือ ภาคตะวันตก และภาคใต้ของประเทศไทย, สัตว์น้ำเฉพาะถิ่น, ศูนย์วิจัยและพัฒนาประมงน้ำจืดเชียงใหม่, กรมประมง, 168.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/168.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=168
169, ปลา, ปลาซิวเจ็ดสี, ปลาซิวใบไผ่ ปลาซิวไข่มุก, Pearl danio, Brachydanio   albolineatus, Family Cyprinidae,"(Blyth, 1860)", เป็นปลาขนาดเล็ก ลำตัวมีสีรุ้งปรากฏชัดเจนในเพศผู้ มีความยาวสูงสุด 4.2 เซนติเมตร มีเส้นข้างลำตัวไม่สมบูรณ์ โดยจะสิ้นสุดก่อนฐานของครีบท้อง มีก้านครีบหลัง 7 อัน ก้านครีบก้น 12-13 อัน มีหนวดเจริญดี 2 คู่ มักอยู๋รวมกันเป็นฝูง ในแหล่งน้ำที่มีคุณภาพดีมาก อุณหภูมิน้ำ 22-27 องศาเซลเซียส กินตัวอ่อนแมลง และแพลงค์ตอนสัตว์เป็นอาหาร, พบในเขตเอเซียตะวันออกเฉียงใต้, สัตว์น้ำทั่วไป, ศูนย์วิจัยและพัฒนาประมงน้ำจืดเชียงใหม่, กรมประมง, 169.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/169.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=169
170, ปลา, ปลานวลจันทร์น้ำจืด, ปลาพอน, Cyprininae - Labeonini, Cirrhinus    microlepis, Family Cyprinidae,"Sauvage, 1878", มีรูปร่างลำตัวเรียวยาวทรงกระบอก หัวโต ปากและตาเล็ก เกล็ดเล็ก ปลาในเขตลุ่มแม่น้ำเจ้าพระยาจะมีหัวและลำตัวสีเงินอมเหลืองทอง ส่วนปลาในลุ่มแม่น้ำโขงจะเป็นสีชมพู ครีบหลังยกสูง ครีบหางเว้าลึก ครีบก้นเล็ก อาหารได้แก่ อินทรียสาร สัตว์หน้าดินขนาดเล็ก แพลงก์ตอน และแมลงต่าง ๆ มีขนาดประมาณ 46 เซนติเมตร พบใหญ่สุด 69 เซนติเมตร น้ำหนัก 5 กิโลกรัม, พบมากตามแม่น้ำสายหลักเช่น แม่น้ำเจ้าพระยา ตั้งแต่อยุธยาขึ้นไปจนถึงนครสวรรค์จนถึงบึงบอระเพ็ด ส่วนทางภาคตะวันออกเฉียงเหนือพบมากในแม่น้ำโขง ปลาในเขตลุ่มแม่น้ำเจ้าพระยาจะมีหัวและลำตัวสีเงิน อมเหลืองทอง ส่วนปลาในลุ่มแม่น้ำโขงจะเป็นสีชมพู ครีบหลังยกสูง ครีบหางเว้าลึก, ใกล้สูญพันธุ์, ศพจ.สุรินทร์, ศพจ.สุรินทร์, 170.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/170.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=170
174, ปลา, ปลาทรงเครื่อง,, Red Tailed Shark, Epalzeorhynchos   bicolor, Family Cyprinidae,"(Smith,1931), 0", ปลาทรงเครื่อง มีลำตัวยาวเรียวแบนข้างเล็กน้อย ลำตัวสีดำสนิท ครีบหลัง ครีบท้อง และครีบก้นสีดำ ครีบหางสีแดง ครีบอกสีส้มปนดำ ก้านครีบแขนงของครีบหลังมีจำนวน 12-14 ก้าน เกล็ดขนาดเล็กมีจำนวนเกล็ดรอบลำตัว 29-30 เกล็ด และจัดเป็นสัตว์น้ำเฉพาะถิ่นของไทยที่อยู่ในภาวะถูกคุกคามรุนแรง, อาศัยในแม่น้ำ และลำธาร อพยพไปบนพื้นที่น้ำท่วมช่วงฤดูน้ำหลาก การกระจายพันธุ์ในลุ่มแม่น้ำเจ้าพระยา พบในเขตลุ่มน้ำตอนกลาง ตั้งแต่บริเวณจังหวัดนครสวรรค์ลงมาจนถึงชัยนาทและในบึงบอระเพ็ด นอกจากนี้ พบในแม่น้ำแม่กลอง บางปะกง และเพชรบุรี, สัตว์น้ำเฉพาะถิ่น, ศพจ.ราชบุรี, ศพจ.ราชบุรี,,,
175, ปลา, ปลาอีกอง,, Spanner Barb, Systomus   Lateristriga, Family Cyprinidae,"(Valenciennes,1842)", ปลาอีกองมีลำตัวค่อนข้างสั้น แบนข้าง ตาอยู่ค่อนไปทางด้านบนของส่วนหัว มีรูจมูก 2 คู่ อยู่ใกล้ตามากกว่าจงอยปาก ปากอยู่ด้านหน้าสุด มุมปากยาวเกือบถึงบริเวณขอบหน้าของตา ลำตัวมีสีเหลืองอมน้ำตาล ขอบเกล็ดมีสีเงินลักษณะเด่นที่เห็นคือบริเวณลำตัว มีแถบสีดำ 2 แถบ ในแนวตั้งอยู่บริเวณเหนือครีบอกและใต้ครีบหลัง และมีแถบสีดำในแนวนอนพาดตามยาวลำตัวตั้งแต่บริเวณใต้ครีบหลังไปจนถึงฐานครีบหางและมีจุดสีดำเป็นวงกลมขนาดเท่ากัน 2 จุด อยู่บริเวณเหนือฐานครีบก้น ครีบทุกครีบมีสีส้มปนแดง ยกเว้นครีบอกมีสีเหลือง, พบได้ในบริเวณ ลำธาร น้ำตก ที่มีน้ำไหลเอื่อยๆ และเป็นปลาที่อาศัยในแหล่งน้ำที่ใสสะอาด, สัตว์น้ำทั่วไป, ศพจ.ราชบุรี, ศพจ.ราชบุรี, 175.jpg,http://extension.fisheries.go.th/dof_fishbase/images_small/175.jpg,http://extension.fisheries.go.th/dof_fishbase/images.php?id_photo=175
